Category;Indicator;Unit;Bad;Threshold;Reference;Status
Birds;Abundance of wintering Great Crested Grebe (Podiceps cristatus);individual;0;1400;2800;1400
Birds;Abundance of wintering Great Crested Grebe (Podiceps cristatus);individual;0;1400;2800;1400
Birds;Abundance of wintering Great Crested Grebe (Podiceps cristatus);individual;0;1400;2800;1400
Birds;Abundance of wintering populations of seabirds Common Merganser (Megus merganser);individual;0;4700;9400;2500
Birds;Abundance of wintering populations of seabirds Common Merganser (Megus merganser);individual;0;4700;9400;2500
Birds;Abundance of wintering populations of seabirds Common Merganser (Megus merganser);individual;0;4700;9400;2500
Birds;Abundance of wintering populations of seabirds Velvet Scotter (Melanitta fusca);individual;0;13700;27400;900
Birds;Abundance of wintering populations of seabirds Velvet Scotter (Melanitta fusca);individual;0;13700;27400;900
Birds;Abundance of wintering populations of seabirds Velvet Scotter (Melanitta fusca);individual;0;13700;27400;900
Birds;Abundance of wintering populations of seabirds Long-tailed Duck (Clangula hyemalis);individual;0;2800;5600;500
Birds;Abundance of wintering populations of seabirds Long-tailed Duck (Clangula hyemalis);individual;0;2800;5600;500
Birds;Abundance of wintering populations of seabirds Long-tailed Duck (Clangula hyemalis);individual;0;2800;5600;500
Birds;Abundance of wintering populations of seabirds Common Goldeneye (Bucephala clangula);individual;0;1000;2000;550
Birds;Abundance of wintering populations of seabirds Common Goldeneye (Bucephala clangula);individual;0;1000;2000;550
Birds;Abundance of wintering populations of seabirds Common Goldeneye (Bucephala clangula);individual;0;1000;2000;550
Benthic habitats;Bentic quality index (BQI);index;1.5;3.3;5;3.8
Benthic habitats;Menhinick index, spring;;0.01;0.09;0.19;0.038
Benthic habitats;Menhinick index, summer;;0.01;0.09;0.19;0.068571
Benthic habitats;IBI, spring;;0;0.63;1;0.456
Benthic habitats;IBI, summer;;0;0.63;1;0.491429
Pelagic habitats;H index  mesozoo spring;;0.01;3;4.5;1.66
Pelagic habitats;H index  mesozoo summer;;0.01;3;4.5;2.66
Pelagic habitats;N. scintilans, spring;mg/m3;6000;250;10;707.8567
Pelagic habitats;M.leyidii summer;g/m3;100;4;0;3.38775
Benthic habitats;H index, zoobenthos;;0.1;2.5;3.6;2.13
Benthic habitats;AMBI;;7;3.3;0.01;3.753333
Benthic habitats;M-AMBI;;0;0.55;0.85;0.32
Benthic habitats;EEIc;;0;6;10;4.02
Benthic habitats;Menhinick index, spring;;0.01;0.09;0.19;0.046
Benthic habitats;Menhinick index, summer;;0.01;0.09;0.19;0.062857
Benthic habitats;IBI, spring;;0;0.63;1;0.448
Benthic habitats;IBI, summer;;0;0.63;1;0.471429
Pelagic habitats;B mesozooplankton, spring;mg/m3;0;140;400;75.528
Pelagic habitats;B mesozooplankton, summer;mg/m3;0;500;1300;240.0057
Pelagic habitats;H index  mesozoo spring;;0.01;3;4.5;1.798
Pelagic habitats;H index  mesozoo summer;;0.01;3;4.5;2.64
Pelagic habitats;N. scintilans, spring;mg/m3;6000;250;10;313.5844
Pelagic habitats;M.leyidii summer;g/m3;100;4;0;3.219667
Benthic habitats;H index, zoobenthos;;0.1;2.5;3.6;2.746667
Benthic habitats;AMBI;;7;3.3;0.01;4.573333
Benthic habitats;M-AMBI;;0;0.55;0.85;0.373333
Benthic habitats;EEIc;;0;6;10;1.14
Benthic habitats;Menhinick index, spring;;0.01;0.09;0.19;0.036667
Benthic habitats;Menhinick index, summer;;0.01;0.09;0.19;0.074
Benthic habitats;IBI, spring;;0;0.63;1;0.443333
Benthic habitats;IBI, summer;;0;0.63;1;0.576
Pelagic habitats;B mesozooplankton, spring;mg/m3;0;140;400;137.7767
Pelagic habitats;B mesozooplankton, summer;mg/m3;0;500;1300;358.0312
Pelagic habitats;H index  mesozoo spring;;0.01;3;4.5;1.816667
Pelagic habitats;H index  mesozoo summer;;0.01;3;4.5;2.56
Pelagic habitats;N. scintilans, spring;mg/m3;6000;250;10;493.35
Pelagic habitats;M.leyidii summer;g/m3;100;4;0;2.16
Benthic habitats;H index, zoobenthos;;0.1;2.5;3.6;3.015
Benthic habitats;AMBI;;7;3.3;0.01;3.15
Benthic habitats;M-AMBI;;0;0.55;0.85;0.472
Benthic habitats;EEIc;;0;6;10;7.775
Benthic habitats;Menhinick index, spring;;0.01;0.09;0.19;0.044
Benthic habitats;Menhinick index, summer;;0.01;0.09;0.19;0.067143
Benthic habitats;IBI, spring;;0;0.63;1;0.436
Benthic habitats;IBI, summer;;0;0.63;1;0.592857
Pelagic habitats;B mesozooplankton, spring;mg/m3;0;140;400;50.18333
Pelagic habitats;B mesozooplankton, summer;mg/m3;0;500;1300;383.7402
Pelagic habitats;H index  mesozoo spring;;0.01;3;4.5;1.91
Pelagic habitats;H index  mesozoo summer;;0.01;3;4.5;2.342
Pelagic habitats;N. scintilans, spring;mg/m3;6000;250;10;247.212
Pelagic habitats;M.leyidii summer;g/m3;100;4;0;1.344833
Benthic habitats;H index, zoobenthos;;0.1;2.5;3.6;2.323333
Benthic habitats;AMBI;;7;3.3;0.01;2.64
Benthic habitats;M-AMBI;;0;0.55;0.85;0.548571
Benthic habitats;EEIc;;0;6;10;4.74
Fish;H index fish;;1;3.2;4.5;1.48
Fish;H index fish;;1;3.2;4.5;1.45
Fish;Sprattus spratus mean length;cm;5;8.8;15;8.21
Fish;Sprattus spratus  ratio catch/biomass;;0.17;0.082;0.05;0.095
Fish;Sprattus spratus biomass;t;10000;55000;85000;39664
Fish;Sprattus spratu sexually mature specimen;%;10;68;95;68.4
Fish;Scophtalmus maximus mean length;cm;11.5;50.2;80;47.5
Fish;Scophtalmus maximus ratio catch/biomass;;0.1;0.033;0.02;0.049
Fish;Scophtalmus maximus biomass;t;350;1700;2500;1301.7
Fish;Scophtalmus maximus sexually mature specimen;%;55;74.7;95;74.7
Birds;HELCOM core: Abundance of waterbirds in the wintering season;% of populations whose size is within +-30 % of the 1991 level;0;0.75;1;0.357142857
Birds;HELCOM core: Abundance of waterbirds in the breeding season;% of populations whose size is within +-30 % of the 1991 level;0;0.75;1;0.166666667
Fish;HELCOM Core: Abundance of salmon spawners and smolt;Smolt production in rivers (x 1000) (main parameter);50;170;225;55
Mammals;HELCOM Core: Pregnancy rates of the marine mammals: grey seal;%;0;80;100;90
Mammals;HELCOM Core: Population growth rate, abundance and distribution of marine mammals: grey seal population growth rate;%;0;10;25;5.5
Mammals;HELCOM Core: Population growth rate, abundance and distribution of marine mammals: ringed seal population growth rate;%;0;12;25;0
Fish;HELCOM Core: Abundance of key fish species;;0;0.08200516;0.18;0.1044903
Pelagic habitats;Microphagous mesozooplankton biomass;mg / m3;632.1875218;143;2.319170893;14.8
Pelagic habitats; Copepod biomass;mg / m3;9.053552701;70;374.8833937;160.8
Plants;Depth distribution of selected perennial macroalgae;EQR;0;0.79;1;0.62
Plants;Cladophora glomerata growth rate;mm / day;10;0.58;0;2
Benthic habitats;Cyanobacterial surface accumulations - the CSA-index;;0;0.83;1;0.76
Pelagic habitats;Phytoplankton taxonomic diversity (Shannon95);;0.326208501;2.32;2.755669896;1.92
Fish;Spawning stock biomass of herring;thousand tonnes;430;600;1000;915.7166
Fish;Spawning stock biomass of sprat;thousand tonnes;410;570;1000;926
Plants;Fucus growth depth, sheltered;m;0;3.2;4.2;2.1
Plants;Fucus growth depth, sheltered;m;0;3.2;4.2;1.88
Plants;Fucus growth depth, sheltered;m;0;3.2;4.2;1.2
Plants;Fucus growth depth, sheltered;m;0;3.2;4.2;1.6
Plants;Fucus growth depth, sheltered;m;0;3.2;4.2;1.5
Plants;Fucus growth depth, sheltered;m;0;3;4;2.3
Plants;Fucus growth depth, sheltered;m;0;3;4;3.2
Plants;Fucus growth depth, sheltered;m;0;3;4;3.2
Plants;Fucus growth depth, sheltered;m;0;3;4;2.5
Plants;Fucus growth depth, sheltered;m;0;3;4;1.7
Plants;Fucus growth depth, sheltered;m;0;5.5;7;3.1
Plants;Fucus growth depth, sheltered;m;0;5.5;7;2.7
Plants;Fucus growth depth, sheltered;m;0;4;5.5;3.7
Plants;Fucus growth depth, sheltered;m;0;4;5.5;3.65
Plants;Fucus growth depth, sheltered;m;0;4;5.5;3.5
Plants;Fucus growth depth, sheltered;m;0;4;5.5;3.7
Plants;Fucus growth depth, open;m;0;4;5.5;2.3
Plants;Fucus growth depth, open;m;0;4;5.5;1.6
Plants;Fucus growth depth, open;m;0;4;5.5;2.2
Plants;Fucus growth depth, open;m;0;3.5;5;3.4
Plants;Fucus growth depth, open;m;0;3.5;5;3.7
Plants;Fucus growth depth, open;m;0;3.5;5;4
Plants;Fucus growth depth, open;m;0;3.5;5;4.15
Plants;Fucus growth depth, open;m;0;3.5;5;2.8
Plants;Fucus growth depth, open;m;0;3.5;5;4.05
Plants;Fucus growth depth, open;m;0;3.5;5;3.1
Plants;Fucus growth depth, open;m;0;3.5;5;2.95
Plants;Fucus growth depth, open;m;0;6;8;4.25
Plants;Fucus growth depth, open;m;0;5;6.5;4.35
Plants;Fucus growth depth, open;m;0;5;6.5;3
Plants;Fucus growth depth, open;m;0;5;6.5;3
Plants;Fucus growth depth, open;m;0;5;6.5;4.35
Benthic habitats;BBI-index;;0;0.53;1;0.44
Benthic habitats;BBI-index;;0;0.53;1;0.71
Benthic habitats;BBI-index;;0;0.53;1;0.46
Benthic habitats;BBI-index;;0;0.53;1;0.03
Benthic habitats;BBI-index;;0;0.53;1;0.17
Benthic habitats;BBI-index;;0;0.53;1;0.28
Benthic habitats;BBI-index;;0;0.53;1;0.36
Benthic habitats;BBI-index;;0;0.53;1;0.36
Benthic habitats;BBI-index;;0;0.53;1;0.48
Benthic habitats;BBI-index;;0;0.53;1;0.86
Benthic habitats;BBI-index;;0;0.53;1;0.71
Benthic habitats;BBI-index;;0;0.52;1;0.43
Benthic habitats;BBI-index;;0;0.52;1;0.2376
Benthic habitats;BBI-index;;0;0.52;1;0.069
Benthic habitats;BBI-index;;0;0.52;1;0.3397
Benthic habitats;BBI-index;;0;0.52;1;0.3893
